x0,x1,x2,weight,cluster_ids,is_seed
-9.2226,4.7706294,-0.32230726,1.0,2,0
-9.056173,-5.3207674,-0.32230726,1.0,1,0
5.5192313,-8.789183,-0.32230726,1.0,0,0
-9.057629,-4.742444,-0.32230726,1.0,1,0
-11.391436,-3.3740406,-0.32230726,1.0,1,0
-10.126436,5.316484,-0.32230726,1.0,2,0
-9.863269,-5.535737,-0.32230726,1.0,1,0
-11.052437,5.1675534,-0.32230726,1.0,2,0
-9.007285,6.613745,-0.32230726,1.0,2,0
-11.1075945,3.5646477,-0.32230726,1.0,2,0
-9.510665,-4.520717,-0.32230726,1.0,1,0
2.3370917,5.118914,-0.32230726,1.0,3,0
1.0040482,3.4466763,-0.32230726,1.0,3,0
-9.738373,5.7014713,-0.32230726,1.0,2,0
-10.894668,-4.1544414,-0.32230726,1.0,1,0
-9.91661,6.077569,-0.32230726,1.0,2,0
-0.25296465,3.668093,-0.32230726,1.0,3,0
-9.438068,-6.2087803,-0.32230726,1.0,1,0
-9.823317,-3.4908347,-0.32230726,1.0,1,0
-7.669049,-4.052586,-0.32230726,1.0,1,0
-10.772422,-4.693392,-0.32230726,1.0,1,0
5.169431,-8.20185,-0.32230726,1.0,0,0
1.960427,4.359828,-0.32230726,1.0,3,0
1.7729867,3.689215,-0.32230726,1.0,3,0
4.120374,-7.6914263,-0.32230726,1.0,0,0
4.9732337,-8.483551,-0.32230726,1.0,0,0
-11.497546,3.1930745,-0.32230726,1.0,2,0
6.345687,-6.8303432,-0.32230726,1.0,0,0
-8.551055,-3.1982086,-0.32230726,1.0,1,0
5.1452875,-6.2961974,-0.32230726,1.0,0,0
-9.722111,-3.9299664,-0.32230726,1.0,1,0
5.1420126,-7.501719,-0.32230726,1.0,0,0
-8.282009,6.7072687,-0.32230726,1.0,2,0
4.374258,-7.8375597,-0.32230726,1.0,0,0
1.4451166,2.379606,-0.32230726,1.0,3,0
0.6163067,2.0963793,-0.32230726,1.0,3,0
6.8944983,-8.731788,-0.32230726,1.0,0,0
-11.553499,5.4202456,-0.32230726,1.0,2,0
-7.514366,7.1607842,-0.32230726,1.0,2,0
2.1193478,4.080944,-0.32230726,1.0,3,0
-9.126847,5.078121,-0.32230726,1.0,2,0
-11.025882,3.8420742,-0.32230726,1.0,2,0
2.3768249,4.149699,-0.32230726,1.0,3,0
-9.211567,-4.868507,-0.32230726,1.0,1,0
3.3256342,-8.564336,-0.32230726,1.0,0,0
1.1433064,5.579122,-0.32230726,1.0,3,0
-10.176527,-5.1812015,-0.32230726,1.0,1,0
-11.729696,-5.6477094,-0.32230726,1.0,1,0
4.1052327,-7.8964553,-0.32230726,1.0,0,0
1.1696848,4.7588286,-0.32230726,1.0,3,0
5.54325,-8.7078285,-0.32230726,1.0,0,0
0.7006731,3.2401671,-0.32230726,1.0,3,0
-9.827774,-4.3540993,-0.32230726,1.0,1,0
-8.645385,-5.782484,-0.32230726,1.0,1,0
1.3110021,3.3040636,-0.32230726,1.0,3,0
-8.497853,5.412334,-0.32230726,1.0,2,0
1.0351566,3.1104474,-0.32230726,1.0,3,0
-8.642942,7.136138,-0.32230726,1.0,2,0
0.87826324,3.4724252,-0.32230726,1.0,3,0
2.5191255,4.9939413,-0.32230726,1.0,3,0
0.6050189,3.59322,-0.32230726,1.0,3,0
-9.464035,-2.5309432,-0.32230726,1.0,1,0
5.5164876,-7.5027795,-0.32230726,1.0,0,0
2.0255535,2.785513,-0.32230726,1.0,3,0
0.68122196,2.5198872,-0.32230726,1.0,3,0
3.9633331,-8.459395,-0.32230726,1.0,0,0
6.2235823,-6.5752873,-0.32230726,1.0,0,0
-11.316635,5.247545,-0.32230726,1.0,2,0
-9.51857,-4.0959563,-0.32230726,1.0,1,0
1.2928822,5.484814,-0.32230726,1.0,3,0
1.4357175,3.2452714,-0.32230726,1.0,3,0
4.0301313,-8.554515,-0.32230726,1.0,0,0
1.2596948,5.4607654,-0.32230726,1.0,3,0
-0.68686265,3.311399,-0.32230726,1.0,3,0
4.0961595,-7.5306687,-0.32230726,1.0,0,0
1.5624176,4.6175733,-0.32230726,1.0,3,0
-9.704865,4.9584484,-0.32230726,1.0,2,0
-8.730903,5.035433,-0.32230726,1.0,2,0
-8.974309,5.410392,-0.32230726,1.0,2,0
-11.648864,3.9123833,-0.32230726,1.0,2,0
-9.306816,-6.857924,-0.32230726,1.0,1,0
-11.129377,-4.741926,-0.32230726,1.0,1,0
5.6048527,-6.0682735,-0.32230726,1.0,0,0
-10.098359,-4.273987,-0.32230726,1.0,1,0
0.7000801,3.4821305,-0.32230726,1.0,3,0
4.6315494,-8.292885,-0.32230726,1.0,0,0
4.3483157,-7.0328617,-0.32230726,1.0,0,0
-10.955157,-5.306371,-0.32230726,1.0,1,0
4.594803,-6.924069,-0.32230726,1.0,0,0
5.798573,-7.2640514,-0.32230726,1.0,0,0
-8.541538,5.3336143,-0.32230726,1.0,2,0
4.4199286,-7.915922,-0.32230726,1.0,0,0
-10.293369,2.8007786,-0.32230726,1.0,2,0
5.7119937,-6.179076,-0.32230726,1.0,0,0
-8.269735,-4.2372227,-0.32230726,1.0,1,0
-7.2123337,4.91905,-0.32230726,1.0,2,0
6.498687,-7.67708,-0.32230726,1.0,0,0
-11.049788,5.933809,-0.32230726,1.0,2,0
-10.655222,-4.6341076,-0.32230726,1.0,1,0
-10.471051,5.9078317,-0.32230726,1.0,2,0
-9.032893,5.478964,-0.48684776,1.0,2,0
-9.772726,2.6994638,-0.48684776,1.0,2,0
3.4116194,4.954393,-0.48684776,1.0,3,0
4.5313306,-7.897626,-0.48684776,1.0,0,0
-9.91245,-5.567158,-0.48684776,1.0,1,0
-10.29028,-4.602963,-0.48684776,1.0,1,0
5.8860416,-6.3223934,-0.48684776,1.0,0,0
1.2110274,3.2224493,-0.48684776,1.0,3,0
2.0097942,4.2805557,-0.48684776,1.0,3,0
-9.901623,-5.8904495,-0.48684776,1.0,1,0
1.127126,2.604152,-0.48684776,1.0,3,0
5.1367745,-7.4877534,-0.48684776,1.0,0,0
-10.77723,-6.0273557,-0.48684776,1.0,1,0
-12.154639,-5.155541,-0.48684776,1.0,1,0
-10.1590605,-6.2742085,-0.48684776,1.0,1,0
2.518021,4.0240245,-0.48684776,1.0,3,0
4.7639637,4.74593,-0.48684776,1.0,3,0
1.7165043,4.0657897,-0.48684776,1.0,3,0
-10.16925,3.2631776,-0.48684776,1.0,2,0
-10.68219,3.59018,-0.48684776,1.0,2,0
2.9365602,4.7813716,-0.48684776,1.0,3,0
-10.658255,-6.718575,-0.48684776,1.0,1,0
-10.670452,-5.09482,-0.48684776,1.0,1,0
6.739718,-7.8265386,-0.48684776,1.0,0,0
-11.6380625,-3.7506425,-0.48684776,1.0,1,0
2.1878085,4.6099577,-0.48684776,1.0,3,0
1.1007965,5.8371644,-0.48684776,1.0,3,0
-11.798286,7.378314,-0.48684776,1.0,2,0
5.2586584,-7.2751884,-0.48684776,1.0,0,0
-10.199395,4.999239,-0.48684776,1.0,2,0
-9.223999,-5.674217,-0.48684776,1.0,1,0
2.7840152,3.070954,-0.48684776,1.0,3,0
2.3027318,2.8496637,-0.48684776,1.0,3,0
6.560591,-6.310362,-0.48684776,1.0,0,0
2.5827663,4.769326,-0.48684776,1.0,3,0
-9.670776,6.5571847,-0.48684776,1.0,2,0
2.8584502,-7.5961833,-0.48684776,1.0,0,0
3.682304,3.8720515,-0.48684776,1.0,3,0
4.525274,-5.541369,-0.48684776,1.0,0,0
-10.015251,6.8254995,-0.48684776,1.0,2,0
-9.336927,-4.355207,-0.48684776,1.0,1,0
-9.156041,3.1184301,-0.48684776,1.0,2,0
2.0821226,3.9305284,-0.48684776,1.0,3,0
5.015829,-6.9347982,-0.48684776,1.0,0,0
2.177367,3.074279,-0.48684776,1.0,3,0
-9.628317,-4.8414006,-0.48684776,1.0,1,0
-11.517555,5.2551284,-0.48684776,1.0,2,0
-10.622662,5.184754,-0.48684776,1.0,2,0
6.2713256,-7.792414,-0.48684776,1.0,0,0
-9.514854,4.5417867,-0.48684776,1.0,2,0
-10.126116,-4.3872485,-0.48684776,1.0,1,0
-10.240355,5.5574574,-0.48684776,1.0,2,0
-9.526269,5.88792,-0.48684776,1.0,2,0
6.172343,-6.547829,-0.48684776,1.0,0,0
2.0307012,4.1973147,-0.48684776,1.0,3,0
2.3797207,4.4712543,-0.48684776,1.0,3,0
-10.87883,4.7238336,-0.48684776,1.0,2,0
6.1828327,-7.23695,-0.48684776,1.0,0,0
-8.988318,-4.864135,-0.48684776,1.0,1,0
-10.726069,-5.4118924,-0.48684776,1.0,1,0
-10.541174,-5.699046,-0.48684776,1.0,1,0
-9.804293,-7.122981,-0.48684776,1.0,1,0
-12.594284,-3.7510443,-0.48684776,1.0,1,0
-11.796929,4.5564413,-0.48684776,1.0,2,0
5.974043,-8.18401,-0.48684776,1.0,0,0
4.465725,-8.590651,-0.48684776,1.0,0,0
3.3818586,-6.7872753,-0.48684776,1.0,0,0
-9.380245,4.2101064,-0.48684776,1.0,2,0
0.50212276,4.310663,-0.48684776,1.0,3,0
2.6693997,3.8444283,-0.48684776,1.0,3,0
5.6475554,-7.0099845,-0.48684776,1.0,0,0
1.5214736,2.362687,-0.48684776,1.0,3,0
4.8360114,-6.1912937,-0.48684776,1.0,0,0
5.020837,-7.225226,-0.48684776,1.0,0,0
5.286321,-8.312858,-0.48684776,1.0,0,0
-10.656151,-7.4101477,-0.48684776,1.0,1,0
3.463693,3.1875174,-0.48684776,1.0,3,0
-10.934598,6.06321,-0.48684776,1.0,2,0
1.9364862,3.6304443,-0.48684776,1.0,3,0
5.2382307,-7.3423023,-0.48684776,1.0,0,0
5.5695624,-7.0473614,-0.48684776,1.0,0,0
-9.938292,4.810464,-0.48684776,1.0,2,0
-8.508597,-5.2555127,-0.48684776,1.0,1,0
-10.825807,-2.006444,-0.48684776,1.0,1,0
-9.728248,4.5331974,-0.48684776,1.0,2,0
-8.97569,2.256399,-0.48684776,1.0,2,0
-9.231624,-4.810968,-0.48684776,1.0,1,0
-9.494886,7.633715,-0.48684776,1.0,2,0
5.039971,-7.925558,-0.48684776,1.0,0,0
-9.830314,-5.6634607,-0.48684776,1.0,1,0
-11.378773,3.5618532,-0.48684776,1.0,2,0
-10.888802,-5.794203,-0.48684776,1.0,1,0
2.2033398,3.4658527,-0.48684776,1.0,3,0
-8.497626,5.1273518,-0.48684776,1.0,2,0
-9.906151,6.375806,-0.48684776,1.0,2,0
1.7999176,4.0582795,-0.48684776,1.0,3,0
5.8681526,-7.691003,-0.48684776,1.0,0,0
5.2954063,-6.9600964,-0.48684776,1.0,0,0
5.531652,-5.919913,-0.48684776,1.0,0,0
-10.235145,-6.4331746,-0.48684776,1.0,1,0
-10.334782,-4.975659,0.33412173,1.0,1,0
-10.929217,4.738297,0.33412173,1.0,2,0
1.8771112,4.403091,0.33412173,1.0,3,0
3.2149928,-8.998314,0.33412173,1.0,0,0
-9.386045,4.8546324,0.33412173,1.0,2,0
-10.888076,5.0454807,0.33412173,1.0,2,0
5.2359743,-8.12927,0.33412173,1.0,0,0
-9.679145,6.040102,0.33412173,1.0,2,0
4.228911,-8.246731,0.33412173,1.0,0,0
-9.849305,-5.046104,0.33412173,1.0,1,0
-9.711833,3.84103,0.33412173,1.0,2,0
1.3283442,3.8383887,0.33412173,1.0,3,0
-11.311884,-3.3807862,0.33412173,1.0,1,0
-9.4217415,6.5294576,0.33412173,1.0,2,0
4.335668,4.0408854,0.33412173,1.0,3,0
6.048865,-8.668013,0.33412173,1.0,0,0
2.5073698,2.7902098,0.33412173,1.0,3,0
2.7697282,4.0762305,0.33412173,1.0,3,0
-10.781268,-4.0288634,0.33412173,1.0,1,0
7.0522413,-7.4191546,0.33412173,1.0,0,0
2.4598181,5.901665,0.33412173,1.0,3,0
4.338824,-6.628988,0.33412173,1.0,0,0
2.1453547,4.3136353,0.33412173,1.0,3,0
6.0412006,-7.3108487,0.33412173,1.0,0,0
3.8014328,-8.885572,0.33412173,1.0,0,0
2.6343987,2.4085517,0.33412173,1.0,3,0
-8.973897,-4.4936433,0.33412173,1.0,1,0
0.7754721,3.4218533,0.33412173,1.0,3,0
-9.103009,-4.6318927,0.33412173,1.0,1,0
1.317737,3.9087322,0.33412173,1.0,3,0
3.7294433,5.4201684,0.33412173,1.0,3,0
-11.243106,5.2259903,0.33412173,1.0,2,0
