x0,x1,weight,cluster_ids,is_seed
8.874915,41.057076,1.0,6,0
9.414788,43.19422,1.0,6,0
10.992991,44.240253,1.0,6,0
9.375374,42.73557,1.0,6,0
8.714148,41.617855,1.0,6,0
8.056431,44.988647,1.0,6,0
9.253049,42.5998,1.0,6,0
8.509906,43.815365,1.0,6,0
8.148803,42.825134,1.0,6,0
8.867234,43.424774,1.0,6,0
9.251896,41.857243,1.0,6,0
9.734519,43.466206,1.0,6,0
9.829218,43.340343,1.0,6,0
9.128379,42.675133,1.0,6,0
9.0902405,42.67832,1.0,6,0
8.949554,41.311592,1.0,6,0
9.940127,42.636093,1.0,6,0
8.132503,43.500656,1.0,6,0
8.855402,43.089817,1.0,6,0
10.491792,43.166855,1.0,6,0
10.9021015,41.803047,1.0,6,0
10.165043,42.35306,1.0,6,0
8.891904,42.459023,1.0,6,0
9.451148,43.09404,1.0,6,0
8.597551,43.9387,1.0,6,0
10.228363,41.50163,1.0,6,0
11.250953,44.93376,1.0,6,0
10.941481,42.85795,1.0,6,0
8.691948,44.092323,1.0,6,0
9.359524,44.26032,1.0,6,0
9.970976,44.01451,1.0,6,0
10.119067,43.744446,1.0,6,0
9.773201,44.823742,1.0,6,0
9.889613,43.43986,1.0,6,0
11.645851,41.690113,1.0,6,0
8.492216,44.00727,1.0,6,0
8.589578,44.981495,1.0,6,0
9.349082,42.290417,1.0,6,0
11.685643,44.518387,1.0,6,0
11.6302595,43.943916,1.0,6,0
8.901475,44.947937,1.0,6,0
9.494698,43.84033,1.0,6,0
10.709952,42.882862,1.0,6,0
10.3767805,43.96008,1.0,6,0
10.139127,41.938473,1.0,6,0
10.060939,44.364258,1.0,6,0
9.068133,42.888237,1.0,6,0
9.327547,44.88714,1.0,6,0
10.434996,43.445335,1.0,6,0
8.9927845,43.57712,1.0,6,0
9.088368,43.069702,1.0,6,0
9.126855,43.714306,1.0,6,0
10.339292,42.829575,1.0,6,0
10.158708,41.944813,1.0,6,0
8.271443,43.477264,1.0,6,0
9.929375,43.672905,1.0,6,0
12.145845,43.982353,1.0,6,0
8.849878,44.15489,1.0,6,0
8.446794,42.57629,1.0,6,0
