x0,x1,weight,cluster_ids,is_seed
8.874915,41.057076,1.0,0,0
9.414788,43.19422,1.0,0,0
10.992991,44.240253,1.0,0,0
9.375374,42.73557,1.0,0,0
8.714148,41.617855,1.0,0,0
8.056431,44.988647,1.0,0,0
9.253049,42.5998,1.0,0,0
8.509906,43.815365,1.0,0,0
8.148803,42.825134,1.0,0,0
8.867234,43.424774,1.0,0,0
9.251896,41.857243,1.0,0,0
9.734519,43.466206,1.0,0,0
9.829218,43.340343,1.0,0,1
9.128379,42.675133,1.0,0,0
9.0902405,42.67832,1.0,0,0
8.949554,41.311592,1.0,0,0
9.940127,42.636093,1.0,0,0
8.132503,43.500656,1.0,0,0
8.855402,43.089817,1.0,0,0
10.491792,43.166855,1.0,0,0
10.9021015,41.803047,1.0,0,0
10.165043,42.35306,1.0,0,0
8.891904,42.459023,1.0,0,0
9.451148,43.09404,1.0,0,0
8.597551,43.9387,1.0,0,0
10.228363,41.50163,1.0,0,0
11.250953,44.93376,1.0,0,0
10.941481,42.85795,1.0,0,0
8.691948,44.092323,1.0,0,0
9.359524,44.26032,1.0,0,0
9.970976,44.01451,1.0,0,0
10.119067,43.744446,1.0,0,0
9.773201,44.823742,1.0,0,0
9.889613,43.43986,1.0,0,0
11.645851,41.690113,1.0,0,0
8.492216,44.00727,1.0,0,0
8.589578,44.981495,1.0,0,0
9.349082,42.290417,1.0,0,0
11.685643,44.518387,1.0,0,0
11.6302595,43.943916,1.0,0,0
8.901475,44.947937,1.0,0,0
9.494698,43.84033,1.0,0,0
10.709952,42.882862,1.0,0,0
10.3767805,43.96008,1.0,0,0
10.139127,41.938473,1.0,0,0
10.060939,44.364258,1.0,0,0
9.068133,42.888237,1.0,0,0
9.327547,44.88714,1.0,0,0
10.434996,43.445335,1.0,0,0
8.9927845,43.57712,1.0,0,0
9.088368,43.069702,1.0,0,0
9.126855,43.714306,1.0,0,0
10.339292,42.829575,1.0,0,0
10.158708,41.944813,1.0,0,0
8.271443,43.477264,1.0,0,0
9.929375,43.672905,1.0,0,0
12.145845,43.982353,1.0,0,0
8.849878,44.15489,1.0,0,0
8.446794,42.57629,1.0,0,0
9.694459,44.751217,1.0,0,0
9.017946,42.211433,1.0,0,0
9.664248,42.374393,1.0,0,0
10.889337,41.957943,1.0,0,0
8.615232,42.60005,1.0,0,0
9.264668,44.967407,1.0,0,0
10.712122,43.125423,1.0,0,0
8.537265,43.882236,1.0,0,0
8.7624855,41.493103,1.0,0,0
10.95073,43.354816,1.0,0,0
10.683559,43.3566,1.0,0,0
10.619532,42.38685,1.0,0,0
8.728458,43.719467,1.0,0,0
8.959291,42.348324,1.0,0,0
9.307168,43.05535,1.0,0,0
9.408707,41.66292,1.0,0,0
9.119082,40.81447,1.0,0,0
10.387932,41.435814,1.0,0,0
8.658318,43.09004,1.0,0,0
9.023138,44.580887,1.0,0,0
8.469844,43.304924,1.0,0,0
9.723418,41.86978,1.0,0,0
10.285977,42.866325,1.0,0,0
10.534492,43.861378,1.0,0,0
11.925937,44.3744,1.0,0,0
9.393519,42.798492,1.0,0,0
10.86236,43.69314,1.0,0,0
10.402832,41.420918,1.0,0,0
9.738375,42.299843,1.0,0,0
10.042625,42.939724,1.0,0,0
10.672879,43.35509,1.0,0,0
10.549028,42.571453,1.0,0,0
8.818254,42.627823,1.0,0,0
20.535654,9.355788,1.0,1,0
22.811985,8.93438,1.0,1,0
19.59673,8.630655,1.0,1,0
20.089079,9.458118,1.0,1,0
19.011879,9.039899,1.0,1,0
20.70918,9.2088175,1.0,1,0
19.955359,8.738715,1.0,1,0
19.128614,8.483316,1.0,1,0
20.009813,9.392687,1.0,1,0
19.396492,9.757834,1.0,1,0
22.04716,6.9066515,1.0,1,0
20.978933,9.653544,1.0,1,0
19.915237,8.579365,1.0,1,0
20.419794,8.678845,1.0,1,0
20.243662,7.300633,1.0,1,0
21.705008,10.056255,1.0,1,0
19.739311,7.5102124,1.0,1,0
21.07374,8.400848,1.0,1,0
20.694628,8.657309,1.0,1,0
21.244213,9.671386,1.0,1,0
19.827078,7.5932727,1.0,1,0
18.969736,9.587016,1.0,1,0
19.363815,8.46982,1.0,1,0
19.956362,8.924069,1.0,1,0
18.616396,9.165415,1.0,1,0
21.076567,9.065059,1.0,1,0
20.241789,9.074037,1.0,1,0
20.951721,6.204044,1.0,1,0
22.508587,9.36673,1.0,1,0
19.900267,8.585683,1.0,1,0
21.046417,8.860533,1.0,1,0
18.52199,11.041129,1.0,1,0
20.442135,9.996809,1.0,1,0
19.860626,10.513014,1.0,1,0
20.83902,9.585481,1.0,1,0
19.507421,10.187782,1.0,1,0
21.242493,10.278482,1.0,1,0
19.924587,8.495609,1.0,1,0
22.856592,7.9166207,1.0,1,0
20.416725,10.113528,1.0,1,0
20.6504,9.55959,1.0,1,0
20.153227,9.346692,1.0,1,0
19.24615,10.634768,1.0,1,0
20.434511,8.296458,1.0,1,0
21.219059,8.515917,1.0,1,0
19.218416,7.629919,1.0,1,0
21.246449,8.817063,1.0,1,0
20.418974,10.05438,1.0,1,0
19.42585,8.245959,1.0,1,0
20.167795,9.070989,1.0,1,0
20.510504,8.68975,1.0,1,0
20.491049,8.869331,1.0,1,0
19.83307,8.163644,1.0,1,0
20.827192,8.085722,1.0,1,0
19.39532,8.664345,1.0,1,0
20.395008,11.23336,1.0,1,0
19.847975,9.919897,1.0,1,0
21.299864,7.7876916,1.0,1,0
21.325928,7.792756,1.0,1,0
17.893503,9.582956,1.0,1,0
18.796785,9.427571,1.0,1,0
19.868664,10.636188,1.0,1,0
21.621185,8.523251,1.0,1,0
19.864838,7.7625594,1.0,1,0
20.111753,8.696281,1.0,1,1
20.187983,9.133341,1.0,1,0
21.131197,9.326291,1.0,1,0
19.78853,7.538845,1.0,1,0
21.917208,8.287188,1.0,1,0
19.900381,8.455447,1.0,1,0
18.709606,8.498663,1.0,1,0
20.073019,9.596995,1.0,1,0
21.251133,8.980408,1.0,1,0
21.484524,9.316602,1.0,1,0
20.536993,9.137565,1.0,1,0
20.362022,8.581787,1.0,1,0
20.284943,7.848625,1.0,1,0
20.833117,7.983513,1.0,1,0
21.394306,8.727178,1.0,1,0
20.60217,9.470473,1.0,1,0
21.19599,7.406013,1.0,1,0
20.345772,9.856815,1.0,1,0
18.854568,9.363917,1.0,1,0
18.297112,7.9541297,1.0,1,0
20.591307,7.3199215,1.0,1,0
19.567165,7.5048018,1.0,1,0
22.20081,9.140864,1.0,1,0
